Reading_Id,CycleId,Vehicle_Id,ReadoutDate,IncomingDate,Sender,LoggedPatternId,BatterySlot,Max_Curr,Min_Curr,Avg_Curr,Max_SOC,Min_SOC,Avg_PackTemp,Max_AvgCellTemp,Min_AvgCellTemp,Max_CellVolt,Min_CellVolt,Max_PackVolt,Min_PackVolt,Max_Power,Min_Power,Avg_Power,Total_CapThroughput,Total_EnergyCharged,Total_EnergyDischarged,Total_OpTime,CycleType,Buffer,Gen
2588727978,130,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,1,7.4,-0.5,6.65,90.07,46.1575,25.1,26.9,22.3,4.067,3.677,733.8,662.8,4.96,-0.36,4.64,28.17,19.62,0,15373,Chg,U,1
2588727978,130,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,2,7.1,-0.3,6.7,90.0475,46.145,24.9,26.1,22.4,4.066,3.677,734.2,662.7,4.84,-0.22,4.68,28.35,19.72,0,15373,Chg,U,1
2588727978,130,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,3,7.4,-11.5,6.65,90.0125,46.085,25.4,26.8,22.7,4.064,3.676,733.8,660.5,5,-0.38,4.68,28.38,19.79,0,15374,Chg,U,1
2588727978,130,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,4,7.1,-0.2,6.65,90.0475,46.13,25.5,27.3,22.3,4.065,3.676,733.7,662.6,4.82,-0.14,4.62,28.14,19.64,0,15371,Chg,U,1
2622462071,131,9165151,2023-12-14 14:18:20,2023-12-14 15:20:07,TISP,728,1,3,-0.6,2.5,37.06,19.8025,17.2,20.4,12.6,3.652,3.587,660.1,646.8,1.96,-0.4,1.62,7.45,4.86,0,10770,Chg,V,1
2622462071,131,9165151,2023-12-14 14:18:20,2023-12-14 15:20:07,TISP,728,2,3.1,-0.5,2.55,36.9225,19.74,17.3,20.4,12.9,3.652,3.589,660.1,646.5,2.04,-0.32,1.68,7.71,5.02,0,10772,Chg,V,1
2622462071,131,9165151,2023-12-14 14:18:20,2023-12-14 15:20:07,TISP,728,3,3,-11.6,2.55,36.6825,19.545,17.6,20.9,12.8,3.651,3.586,659.2,645.3,1.96,-1.5,1.68,7.67,4.99,0,10773,Chg,V,1
2622462071,131,9165151,2023-12-14 14:18:20,2023-12-14 15:20:07,TISP,728,4,3,-0.4,2.5,36.9775,19.71,17.1,20.2,12.5,3.653,3.588,659.3,646.6,1.96,-0.26,1.62,7.42,4.84,0,10771,Chg,V,1
2622462071,132,9165151,2023-12-14 14:18:20,2023-12-14 15:20:07,TISP,728,1,3.1,-0.4,2.75,52.4075,35.85,22.7,24,20.4,3.729,3.641,672.9,656,2.06,-0.26,1.84,12.55,8.35,0,16472,Chg,U,1
2622462071,132,9165151,2023-12-14 14:18:20,2023-12-14 15:20:07,TISP,728,2,3.2,-0.2,2.85,52.39,35.7325,22.7,24.1,20.4,3.729,3.64,673.2,656,2.1,-0.14,1.9,12.89,8.61,0,16473,Chg,U,1
2622462071,132,9165151,2023-12-14 14:18:20,2023-12-14 15:20:07,TISP,728,3,3.1,-11.1,2.8,52.295,36.07,23,24.4,20.9,3.728,3.639,673.1,655.5,2.04,-1.5,1.84,12.57,8.38,0,16475,Chg,U,1
2622462071,132,9165151,2023-12-14 14:18:20,2023-12-14 15:20:07,TISP,728,4,3,-0.4,2.75,52.37,35.7075,22.4,23.7,20.2,3.729,3.64,673.1,656.1,2,-0.26,1.84,12.38,8.27,0,16472,Chg,U,1
2624027802,133,9165151,2023-12-15 06:41:09,2023-12-15 07:43:49,TISP,728,1,3,-0.2,2.65,89.9725,51.8925,26.2,27.5,24,4.064,3.712,733.5,669,2.04,-0.14,1.84,25.76,17.92,0,35873,Chg,U,1
2624027802,133,9165151,2023-12-15 06:41:09,2023-12-15 07:43:49,TISP,728,2,3.1,-0.3,2.7,89.93,51.2075,26.1,26.7,24.1,4.06,3.712,732.9,668.9,2.1,-0.22,1.92,26.72,18.48,0,35874,Chg,U,1
2624027802,133,9165151,2023-12-15 06:41:09,2023-12-15 07:43:49,TISP,728,3,3.1,-11.1,2.65,89.92,51.345,26.4,27.4,24.4,4.061,3.708,733.5,666.9,2.08,-0.32,1.86,26.01,18.02,0,35875,Chg,U,1
2624027802,133,9165151,2023-12-15 06:41:09,2023-12-15 07:43:49,TISP,728,4,3.1,-0.4,2.6,89.95,51.2025,26.2,27.5,23.7,4.061,3.712,733.1,668.8,2.08,-0.3,1.82,25.54,17.81,0,35872,Chg,U,1
2583179281,432,9165151,2023-12-01 07:34:12,2023-12-01 08:36:41,TISP,728,1,0,-10.4,-7,81.05,68.34,14.6,19.7,11.3,3.963,3.836,712.6,691.8,0,-7.26,-4.9,8.49,0,5.95,4379,Drv,1,1
2583179281,432,9165151,2023-12-01 07:34:12,2023-12-01 08:36:41,TISP,728,2,-0.2,-10.1,-6.75,81.035,68.0575,15.1,20.3,11.9,3.963,3.835,712.6,691.8,-0.14,-7.08,-4.72,8.2,0,5.74,4379,Drv,1,1
2583179281,432,9165151,2023-12-01 07:34:12,2023-12-01 08:36:41,TISP,728,3,-0.2,-11.5,-7.1,80.9325,68.225,15.2,20.4,12.2,3.962,3.835,712.6,691.8,-0.14,-8.16,-4.96,8.59,0,6.02,4379,Drv,1,1
2583179281,432,9165151,2023-12-01 07:34:12,2023-12-01 08:36:41,TISP,728,4,-0.4,-13,-7.1,80.88,68.3225,14.8,19.8,11.6,3.963,3.835,712.7,691.9,-0.28,-9.24,-4.96,8.59,0,6.02,4379,Drv,1,1
2588727978,433,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,1,58.2,-70,-8.75,49.805,46.155,22.1,22.3,22.1,3.725,3.644,670.5,656.3,39,-46.04,-5.76,4.16,0.53,2.22,1054,Drv,1,1
2588727978,433,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,2,59.3,-70.6,-8.75,49.77,46.1425,22.4,22.4,22.3,3.726,3.641,670.5,656.1,39.74,-46.44,-5.76,4.21,0.55,2.23,1054,Drv,1,1
2588727978,433,9165151,2023-12-04 06:05:33,2023-12-04 07:08:48,TISP,728,3,59.4,-70.7,-8.6,49.6775,46.08,22.5,22.7,22.4,3.725,3.641,670.5,656.1,39.82,-46.42,-5.68,4.2,0.56,2.21,1054,Drv,1,1
